first user primary channel group,new leads,qualified leads,converted leads,user key event rate,clicks,impressions,ctr,position,errors
Direct,0,0,0,0.0390625,0,0,0,0,
Referral,0,0,0,0.0526315789473684,0,0,0,0,
Unassigned,0,0,0,0.0307692307692307,0,0,0,0,
