firstuserdefaultchannelgroup,totalusers,newusers,returning users,average engagement time per active user,engaged sessions per active user,eventcount,keyevents,userkeyeventrate,clicks,impressions,ctr,position,errors
Direct,232,119,113,0.559885920019157,0.2068965517241379,1049,33,0.0390625,0,0,0,0,
Unassigned,191,59,132,0.3997333379955123,0.0890052356020942,475,15,0.0307692307692307,0,0,0,0,
Organic Search,62,52,10,3.591254740645161,0.7903225806451613,432,0,0.0,0,0,0,0,
Referral,22,15,7,5.565411579124578,0.6818181818181818,219,13,0.0526315789473684,0,0,0,0,
Cross-network,16,13,3,19.75226025,0.6875,90,0,0.0,0,0,0,0,
Organic Social,10,9,1,17.652447707692307,0.8,89,0,0.0,0,0,0,0,
Organic Video,4,4,0,43.078142250000006,0.75,38,0,0.0,0,0,0,0,
