first user primary channel group,new users,total revenue,transactions,average 120d value,clicks,impressions,ctr,position,errors
Direct,119,498.0,2,3.890625,0,0,0,0,
Unassigned,59,99.0,1,1.523076923076923,0,0,0,0,
Organic Search,52,0.0,0,0.0,0,0,0,0,
Referral,15,239.2,1,12.589473684210526,0,0,0,0,
Cross-network,13,0.0,0,0.0,0,0,0,0,
Organic Social,9,0.0,0,0.0,0,0,0,0,
Organic Video,4,0.0,0,0.0,0,0,0,0,
