First user primary channel group,New leads,Qualified leads,Converted leads,User key event rate
Direct,0,0,0,0.011560693641618497
Email,0,0,0,1
Organic Search,0,0,0,0.018867924528301886
Organic Social,0,0,0,0.14285714285714285
Unassigned,0,0,0,0.012345679012345678
