First user primary channel group,New users,Total revenue,Transactions,Average 120d value
Direct,159,159.2,1,0.92023121387283235
Unassigned,71,79,1,0.97530864197530864
Cross-network,44,0,0,0
Organic Search,36,0,0,0
Referral,10,0,0,0
Organic Social,6,0,0,0
