firstUserDefaultChannelGroup,totalUsers,newUsers,Returning users,Average engagement time per active user,Engaged sessions per active user,eventCount,keyEvents,userKeyEventRate
Unassigned,189,71,118,0.8455765972222222,0.1111111111111111,581,13,0.0123456790123456
Direct,177,159,18,0.8849002718361583,0.3389830508474576,1351,13,0.0115606936416184
Organic Search,57,36,21,6.718365912846633,1.0,736,2,0.0188679245283018
Cross-network,48,44,4,4.568466581537356,0.7708333333333334,411,0,0.0
Referral,13,10,3,7.332293325791856,0.6153846153846154,78,0,0.0
Organic Social,7,6,1,66.07665995238095,0.8571428571428571,105,2,0.1428571428571428
Email,1,0,1,1387.9744810000002,1.0,34,4,1.0
Organic Video,1,0,1,237.540002,1.0,11,0,0.0
