table: cohort - active users,clicks,impressions,ctr,position,errors
activeUsers,0,0,0,0,
271,0,0,0,0,
3,0,0,0,0,
,0,0,0,0,
newUsers,0,0,0,0,
271,0,0,0,0,
,0,0,0,0,
engagedSessions,0,0,0,0,
119,0,0,0,0,
6,0,0,0,0,
,0,0,0,0,
averageSessionDuration,0,0,0,0,
298.08566084615381,0,0,0,0,
106.01448327972028,0,0,0,0,
,0,0,0,0,
userEngagementDuration,0,0,0,0,
6323,0,0,0,0,
578,0,0,0,0,
