device category,session start active users,view product active users,add to cart active users,begin checkout active users,purchase active users,clicks,impressions,ctr,position,errors
desktop,317,0,84,163,4,0,0,0,0,
mobile,32,0,1,2,0,0,0,0,0,
tablet,1,0,0,0,0,0,0,0,0,
