firstuserdefaultchannelgroup,totalusers,new leads,qualified leads,converted leads,user key event rate,clicks,impressions,ctr,position,errors
Direct,232,0,0,0,0.0,0,0,0,0,
Unassigned,191,0,0,0,0.0,0,0,0,0,
Organic Search,62,0,0,0,0.0,0,0,0,0,
Referral,22,0,0,0,0.0,0,0,0,0,
Cross-network,16,0,0,0,0.0,0,0,0,0,
Organic Social,10,0,0,0,0.0,0,0,0,0,
Organic Video,4,0,0,0,0.0,0,0,0,0,
