firstuserdefaultchannelgroup,totalusers,newusers,averagesessionduration,engagedsessions,eventcount,returning users,engaged sessions per active user,user key event rate,clicks,impressions,ctr,position,errors
Direct,232,119,129.89353344444442,48,1049,113,0.2068965517241379,4.521551724137931,0,0,0,0,
Unassigned,191,59,76.34906755714286,17,475,132,0.0890052356020942,2.486910994764398,0,0,0,0,
Organic Search,62,52,222.65779392,49,432,10,0.7903225806451613,6.967741935483871,0,0,0,0,
Referral,22,15,122.43905474074072,15,219,7,0.6818181818181818,9.954545454545457,0,0,0,0,
Cross-network,16,13,316.036164,11,90,3,0.6875,5.625,0,0,0,0,
Organic Social,10,9,176.52447707692306,8,89,1,0.8,8.9,0,0,0,0,
Organic Video,4,4,172.312569,3,38,0,0.75,9.5,0,0,0,0,
