search appearance,clicks,impressions,ctr,position,errors
PRODUCT_SNIPPETS,34,843,0.0403321470937129,14.136417556346382,
TRANSLATED_RESULT,9,499,0.0180360721442885,7.619238476953908,
REVIEW_SNIPPET,0,59,0.0,33.30508474576271,
