table: date - clicks & impressions,clicks,impressions,ctr,position,errors
19.98976897689769,0,0,0,0,
24.523452518262207,0,0,0,0,
19.213672444516444,0,0,0,0,
22.724331320103538,0,0,0,0,
21.692043145224325,0,0,0,0,
20.871571729957807,0,0,0,0,
,0,0,0,0,
1.0103092783505154,0,0,0,0,
2.3157894736842106,0,0,0,0,
1.0,0,0,0,0,
6.432748538011696,0,0,0,0,
1.3333333333333333,0,0,0,0,
26.142857142857142,0,0,0,0,
1.0,0,0,0,0,
30.357142857142858,0,0,0,0,
27.454545454545453,0,0,0,0,
11.714285714285714,0,0,0,0,
19.318181818181817,0,0,0,0,
7.12,0,0,0,0,
4.0,0,0,0,0,
11.4,0,0,0,0,
1.0,0,0,0,0,
11.5,0,0,0,0,
6.0,0,0,0,0,
33.75,0,0,0,0,
7.317647058823529,0,0,0,0,
1.0,0,0,0,0,
1.0,0,0,0,0,
25.0,0,0,0,0,
4.333333333333334,0,0,0,0,
2.2727272727272725,0,0,0,0,
10.5,0,0,0,0,
7.0,0,0,0,0,
4.6,0,0,0,0,
5.0,0,0,0,0,
1.4285714285714286,0,0,0,0,
5.0,0,0,0,0,
3.4,0,0,0,0,
3.2,0,0,0,0,
39.0,0,0,0,0,
2.5,0,0,0,0,
1.0,0,0,0,0,
8.666666666666668,0,0,0,0,
4.0,0,0,0,0,
101.0,0,0,0,0,
10.0,0,0,0,0,
7.0,0,0,0,0,
3.375,0,0,0,0,
7.333333333333333,0,0,0,0,
8.5,0,0,0,0,
10.0,0,0,0,0,
69.5,0,0,0,0,
7.0,0,0,0,0,
1.0,0,0,0,0,
60.0,0,0,0,0,
41.625,0,0,0,0,
3.0,0,0,0,0,
1.0,0,0,0,0,
2.0,0,0,0,0,
1.0,0,0,0,0,
78.6,0,0,0,0,
67.14285714285714,0,0,0,0,
97.75,0,0,0,0,
9.0,0,0,0,0,
53.44444444444444,0,0,0,0,
24.0,0,0,0,0,
32.0,0,0,0,0,
14.130434782608695,0,0,0,0,
40.0,0,0,0,0,
31.666666666666668,0,0,0,0,
1.0,0,0,0,0,
9.727272727272728,0,0,0,0,
78.0,0,0,0,0,
2.0,0,0,0,0,
54.0,0,0,0,0,
11.0,0,0,0,0,
8.0,0,0,0,0,
13.133333333333333,0,0,0,0,
41.2,0,0,0,0,
42.63157894736842,0,0,0,0,
28.52,0,0,0,0,
9.0,0,0,0,0,
46.0,0,0,0,0,
11.0,0,0,0,0,
6.25,0,0,0,0,
6.444444444444445,0,0,0,0,
8.777777777777779,0,0,0,0,
10.0,0,0,0,0,
3.0,0,0,0,0,
37.0,0,0,0,0,
11.0,0,0,0,0,
60.0,0,0,0,0,
54.0,0,0,0,0,
3.0,0,0,0,0,
24.0,0,0,0,0,
30.0,0,0,0,0,
5.0,0,0,0,0,
38.0,0,0,0,0,
25.0,0,0,0,0,
78.0,0,0,0,0,
7.0,0,0,0,0,
43.25,0,0,0,0,
8.666666666666668,0,0,0,0,
2.0,0,0,0,0,
2.833333333333333,0,0,0,0,
86.5,0,0,0,0,
1.0,0,0,0,0,
3.0,0,0,0,0,
3.0,0,0,0,0,
3.0,0,0,0,0,
16.833333333333336,0,0,0,0,
2.0,0,0,0,0,
94.5,0,0,0,0,
10.0,0,0,0,0,
84.0,0,0,0,0,
56.0,0,0,0,0,
39.833333333333336,0,0,0,0,
31.714285714285715,0,0,0,0,
45.5,0,0,0,0,
38.0,0,0,0,0,
2.0,0,0,0,0,
87.0,0,0,0,0,
90.0,0,0,0,0,
83.0,0,0,0,0,
37.0,0,0,0,0,
91.0,0,0,0,0,
38.0,0,0,0,0,
65.5,0,0,0,0,
21.6,0,0,0,0,
29.0,0,0,0,0,
21.272727272727277,0,0,0,0,
32.0,0,0,0,0,
28.5,0,0,0,0,
54.0,0,0,0,0,
50.0,0,0,0,0,
53.75,0,0,0,0,
119.0,0,0,0,0,
89.66666666666667,0,0,0,0,
66.0,0,0,0,0,
104.5,0,0,0,0,
42.0,0,0,0,0,
1.0,0,0,0,0,
74.25,0,0,0,0,
102.33333333333331,0,0,0,0,
1.0,0,0,0,0,
26.5,0,0,0,0,
107.0,0,0,0,0,
42.833333333333336,0,0,0,0,
95.0,0,0,0,0,
37.0,0,0,0,0,
56.5,0,0,0,0,
10.0,0,0,0,0,
9.0,0,0,0,0,
50.0,0,0,0,0,
19.5,0,0,0,0,
55.42857142857143,0,0,0,0,
29.0,0,0,0,0,
16.0,0,0,0,0,
14.0,0,0,0,0,
84.0,0,0,0,0,
94.0,0,0,0,0,
21.0,0,0,0,0,
41.2,0,0,0,0,
2.0,0,0,0,0,
9.0,0,0,0,0,
1.0,0,0,0,0,
1.0,0,0,0,0,
1.0,0,0,0,0,
9.0,0,0,0,0,
1.0,0,0,0,0,
11.0,0,0,0,0,
66.66666666666667,0,0,0,0,
80.5,0,0,0,0,
71.0,0,0,0,0,
48.5,0,0,0,0,
43.0,0,0,0,0,
61.5,0,0,0,0,
88.2,0,0,0,0,
97.75,0,0,0,0,
72.0,0,0,0,0,
63.0,0,0,0,0,
1.0,0,0,0,0,
12.0,0,0,0,0,
21.714285714285715,0,0,0,0,
23.2,0,0,0,0,
88.0,0,0,0,0,
62.5,0,0,0,0,
80.0,0,0,0,0,
45.0,0,0,0,0,
75.23809523809524,0,0,0,0,
47.5,0,0,0,0,
62.5,0,0,0,0,
46.0,0,0,0,0,
74.66666666666667,0,0,0,0,
70.5,0,0,0,0,
98.0,0,0,0,0,
68.66666666666667,0,0,0,0,
82.25,0,0,0,0,
27.0,0,0,0,0,
