device,clicks,impressions,ctr,position,errors
DESKTOP,437,36622,0.0119327180383376,20.35596089782098,
MOBILE,58,12213,0.0047490379104233,33.710144927536234,
TABLET,0,168,0.0,11.958333333333334,
