Search Appearance,Clicks,Impressions,CTR,Position
REVIEW_SNIPPET,0,59,0,33.30508474576271
TRANSLATED_RESULT,9,499,0.018036072144288578,7.619238476953908
PRODUCT_SNIPPETS,34,843,0.04033214709371293,14.136417556346382
