browser,activeUsers,newUsers,engagedSessions,engagementRate,averageSessionDuration,eventCount,totalRevenue
Chrome,323,281,156,0.37772397094430993,226.88961263196126,2853,238.2
Safari,23,21,10,0.37037037037037035,106.59867122222222,157,0
Firefox,14,10,15,0.78947368421052633,192.53992163157895,121,0
Edge,9,9,8,0.66666666666666663,122.044855,50,0
Opera,3,3,1,0.25,2.54526175,13,0
(not set),1,1,0,0,0,3,0
Android Webview,1,1,1,1,692.508997,6,0
,0,0,0,0,0,104,0
