firstUserDefaultChannelGroup,totalUsers,New leads,Qualified leads,Converted leads,User key event rate
Unassigned,189,0,0,0,0.0
Direct,177,0,0,0,0.0
Organic Search,57,0,0,0,0.0
Cross-network,48,0,0,0,0.0
Referral,13,0,0,0,0.0
Organic Social,7,0,0,0,0.0
Email,1,0,0,0,0.0
Organic Video,1,0,0,0,0.0
