firstUserDefaultChannelGroup,totalUsers,newUsers,averageSessionDuration,engagedSessions,eventCount,Returning users,Engaged sessions per active user,User key event rate
Unassigned,189,71,159.813976875,21,581,118,0.1111111111111111,3.074074074074074
Direct,177,159,156.62734811500002,60,1351,18,0.3389830508474576,7.632768361581921
Organic Search,57,36,382.94685703225815,57,736,21,1.0,12.912280701754385
Cross-network,48,44,219.28639591379309,37,411,4,0.7708333333333334,8.5625
Referral,13,10,95.31981323529412,8,78,3,0.6153846153846154,6.0
Organic Social,7,6,462.5366196666667,6,105,1,0.8571428571428571,15.0
Email,1,0,1387.974481,1,34,1,1.0,34.0
Organic Video,1,0,237.540002,1,11,1,1.0,11.0
