audienceName,totalUsers,newUsers,sessions,screenPageViewsPerSession,averageSessionDuration,totalRevenue
All Users,492,326,476,1.8508403361344539,215.14508603991595,238.2
Purchasers,6,0,10,1.3,179.6486059,238.2
