audiencename,totalusers,newusers,sessions,screenpageviewspersession,averagesessionduration,totalrevenue,clicks,impressions,ctr,position,errors
All Users,534,271,350,1.8114285714285716,149.74564523714284,836.2,0,0,0,0,
Purchasers,7,0,11,2.090909090909091,404.9724437272727,836.2,0,0,0,0,
